Date,Open,High,Low,Close,Volume,Market Cap
Feb-14-2022,0.9999,1.00005,0.9999,1,2488926787.111111,52505322341.90374
Feb-13-2022,0.99995,1.00005,0.9999,0.99995,1952791525.7263157,52382434166.482956
Feb-12-2022,1,1.00005,0.9999,1,1823966903.5555556,52354515865.74238
Feb-11-2022,0.99995,1.00005,0.9999,1,2749811018.2222223,52312467333.83252
Feb-10-2022,1,1.00005,0.9999,1,3243968436,52132467038.97177
Feb-09-2022,0.99995,1.0001,0.9999,0.9999,2573526376,51978178873.99558
Feb-08-2022,0.99995,1.00005,0.9999,0.99995,2694012744.4444447,51679818693.013176
Feb-07-2022,1,1.00005,0.9999,1,2994180536.888889,51468988507.19067
Feb-06-2022,0.99995,1.00005,0.9999,0.99995,2387338296.4444447,51151842383.17513
Feb-05-2022,1,1.00005,0.9999,0.99995,1924621416.2222223,51031504445.71805
Feb-04-2022,1.00005,1.00005,0.9999,0.99995,2774392624,50961236286.546
Feb-03-2022,1.00005,1.00005,0.9999,1,2602626436.888889,50851158095.20557
Feb-02-2022,0.99995,1.00005,0.9999,1.00005,2563989910.6666665,50592149098.99216
Feb-01-2022,1,1.00005,0.99985,1,2338940811.5555553,50247952778.53782
Jan-31-2022,1,1.00005,0.9999,0.99995,2570686694.2222223,50021408292.54864
Jan-30-2022,1,1.00005,0.9999,1,4748536075.555555,49815094697.04074
Jan-29-2022,0.99995,1.00005,0.9999,1,7896877815.111111,49749931706.62203
Jan-28-2022,0.9999,1.00005,0.9999,0.99995,12204924856.88889,49651159989.27797
Jan-27-2022,0.99995,1.00005,0.9999,0.99995,8915441307.555555,49548068263.74682
Jan-26-2022,1,1.0001,0.9999,0.99995,4251230687.111111,49161696480.815994
Jan-25-2022,1.00005,1.0001,0.99995,1.00005,3427020100.888889,48699442208.90544
Jan-24-2022,1.00005,1.0001,0.99995,1.00005,4485328400.055749,48280567121.9346
Jan-23-2022,1,1.0001,0.9999,1.0001,4415545508,47818243840.951965
Jan-22-2022,1.00005,1.0001,0.99995,1.00005,4171659795.5555553,44698147795.08237
Jan-21-2022,1,1.0001,0.9999,1,6986417695.328671,43122103894.42423
Jan-20-2022,0.99995,1.00015,0.9999,0.99995,4435433729.333333,43192473270.69898
Jan-19-2022,1.0001,1.0001,0.9999,1,2357365879.5555553,46204445440.11165
Jan-18-2022,1.00005,1.00015,0.99995,1,2462393072.836237,45840795421.52826
Jan-17-2022,0.99995,1.00015,0.99995,1,2127398849.3333333,45565539067.29275
Jan-16-2022,1,1.0001,0.99995,0.99995,1872950287.3333333,45472620561.28508
Jan-15-2022,1.0001,1.0001,0.99995,1.00005,1504257607.5555556,45388152395.1224
Jan-14-2022,1,1.0001,1,1.0001,1810145224.6666667,45251920837.301094
Jan-13-2022,1.0001,1.00015,0.99995,1,2346670631.5555553,45044873966.27909
Jan-12-2022,1.00015,1.00015,1,1.0001,2595620919.111111,44806067806.42735
Jan-11-2022,1.00015,1.0004499999999998,1,1.00015,2482731021.3333335,44306094900.327415
Jan-10-2022,1.0001,1.0003,1,1,3147897092.0139375,43952407794.617455
Jan-09-2022,0.99995,1.00025,0.99995,1.0001,2512578419.5555553,43655334269.29366
Jan-08-2022,1.0001,1.00015,0.9999,0.99995,2788807900.4444447,43586270831.90463
Jan-07-2022,1,1.00025,0.9999,1.00005,3139773602.6666665,40947065384.97121
Jan-06-2022,1,1.0002,0.9999,0.99995,3731093183.111111,42373943303.9453
Jan-05-2022,1.0001,1.00035,0.99995,1.00005,4292880916.4444447,42927723742.829315
Jan-04-2022,1,1.0005,0.9999,1.00005,2507637611.111111,42644182183.64622
Jan-03-2022,0.99995,1.0001,0.9999,1.00005,2250345931.5555553,42632004174.193695
Jan-02-2022,0.99995,1.0002,0.9999,1,1867580095.7777777,42602068682.96164
Jan-01-2022,1,1.0001,0.9999,1,1759656318.2222223,42473707736.98971
Dec-31-2021,1,1.0002,0.9999,1.00005,2134541770.2222223,42375950712.919876
Dec-30-2021,0.99995,1.0002,0.9999,1,2334393799.5555553,42328331450.1779
Dec-29-2021,0.99995,1.00015,0.99985,1.00005,2581897803.111111,42200209917.0735
Dec-28-2021,1,1.0001,0.9999,0.99995,2662105488,42112653889.731705
Dec-27-2021,1,1.0001,0.9999,1.00005,2490683042.6666665,42129009978.10251
Dec-26-2021,1.00005,1.0001,0.9999,1,1744826943.7777777,42197066038.1724
Dec-25-2021,1.00005,1.0001,0.9999,0.9999,1789875189.3333333,42421741369.19669
Dec-24-2021,1,1.0001,0.9999,1.00005,1983450475.1111112,42423798514.30057
Dec-23-2021,1,1.00025,0.9998,0.99995,2622006072.888889,42536567939.956436
Dec-22-2021,0.9999,1.00015,0.99985,1.00005,2504312816.4444447,42428701056.6103
Dec-21-2021,1,1.00025,0.99985,1.00005,2428714766.2222223,41126270839.72899
Dec-20-2021,1.00015,1.0002,0.99995,0.99995,2996301787.5555553,42284870248.82893
Dec-19-2021,0.99995,1.00025,0.99995,1.0001,2555233787.5555553,42091380268.78153
Dec-18-2021,1.00005,1.00015,0.99995,1,2366451841.79021,42071144284.51061
Dec-17-2021,0.99995,1.0001,0.9999,1.0001,3424555693.0704226,41965483611.46213
Dec-16-2021,1.0001,1.00015,0.9999,0.9999,3101666589.3333335,41877750826.286224
Dec-15-2021,0.9999,1.00015,0.9999,1.00005,3888472618.2222223,41775081312.34737
Dec-14-2021,0.99995,1.00005,0.9999,0.9999,3289917125.3333335,41718252867.61902
Dec-13-2021,1,1.0001,0.9999,1,3359195290.3135886,41660033647.58809
Dec-12-2021,1.00005,1.00015,0.99995,1.0001,2681960143.1519437,41244866953.696014
Dec-11-2021,1.00005,1.00015,1,1,2152115973.7777777,41582880472.4692
Dec-10-2021,1,1.00015,0.99995,1.00015,3646437816.4444447,41449933750.65918
Dec-09-2021,1,1.00025,0.99995,1,3930447900.543554,41134501833.75162
Dec-08-2021,0.9999,1.0001,0.9999,1,3096965838.6666665,40032457624.469246
Dec-07-2021,1,1.0001,0.9999,0.99995,2879544440.888889,40989774464.789345
Dec-06-2021,1,1.00005,0.9999,1.00005,3961496580.4444447,40858053296.06537
Dec-05-2021,1,1.0001,0.9999,0.99995,4243810607.111111,40813231870.016174
Dec-04-2021,0.99995,1.0001,0.99995,1,4560969012,40376952607.69029
Dec-03-2021,0.9999,1.0008,0.99985,0.99995,6467828832,39457524807.15088
Dec-02-2021,1,1.0001,0.9999,0.9999,3262149663.5555553,39091739097.48079
Dec-01-2021,1.00005,1.0001,0.9999,1,3408292200,38998497022.35048
Nov-30-2021,1.00005,1.00005,0.9999,0.99995,3434746777.3333335,38762999742.083824
Nov-29-2021,1,1.00005,0.9999,1.00005,3120217136.1672473,38634716772.46924
Nov-28-2021,1.00005,1.00005,0.9999,1,2990006328.4444447,38448232355.30533
Nov-27-2021,1.00005,1.00015,0.99995,0.99995,2263064930.2222223,38298086743.59682
Nov-26-2021,0.99995,1.00005,0.9999,1.00005,3326523391.5555553,38085361946.779434
Nov-25-2021,1.00005,1.00015,0.9999,0.99995,3819101151.5555553,37558558293.28255
Nov-24-2021,1.00005,1.00015,0.99995,1.0001,3082679580,37282314421.16698
Nov-23-2021,1,1.00015,0.99995,1,3256871208.888889,36921643276.787544
Nov-22-2021,1.0001,1.00015,0.99995,1,3376440568.888889,36598774994.43198
Nov-21-2021,1,1.0001,0.9999,1.0001,3005800280.1678324,36325335537.14842
Nov-20-2021,1.00005,1.00015,0.9999,1,2211106054.6666665,35822368627.59415
Nov-19-2021,0.99995,1.0002,0.99995,1.00005,2671041360.4444447,34426024989.97976
Nov-18-2021,1,1.0004499999999998,0.99995,0.99995,4140026475.5555553,34426867669.41957
Nov-17-2021,1.0001,1.00015,0.99995,1.00005,3464829244,34425355627.587875
Nov-16-2021,1.0001,1.0002,1,1,3292114780.888889,34427178444.8158
Nov-15-2021,1.00015,1.0002,0.99995,1.00005,3674445793.3333335,34427226256.4152
Nov-14-2021,1.0001,1.0002,1.00005,1.0001,2400994518.3776226,34427505143.480705
Nov-13-2021,1.00005,1.0004499999999998,1,1.0001,1617113517.9372823,34426744496.24419
Nov-12-2021,1.0001,1.00015,1,1.00005,2136983002.5365853,34425916872.460495
Nov-11-2021,1,1.0001,1,1.00005,2875887895.5555553,34425720191.03345
Nov-10-2021,1.00015,1.00015,1,1.00005,4108335853.7777777,34426879622.31941
Nov-09-2021,0.99995,1.00015,0.99995,1.0001,3053837922.2222223,34564051850.20931
Nov-08-2021,1,1.0001,0.9999,0.99995,2808226521.6445994,34398300577.993126
Nov-07-2021,1.00005,1.0003,0.99995,1.00005,2408497614.769231,34331921485.50942
Nov-06-2021,1.00005,1.0002,0.99995,1.00005,1859081340,34292611162.796978
Nov-05-2021,1.00005,1.0002,0.9999,1,2053902787.1111112,34110477124.60861
Nov-04-2021,1,1.0001,0.99995,1.00005,2410770861.7777777,33784896523.000748
Nov-03-2021,1.00005,1.0003,1,1.00005,2619026638.2222223,33730661023.361893
Nov-02-2021,1.00005,1.0001,0.9998,1.0001,2523665500.888889,33497171251.037735
Nov-01-2021,1.00005,1.00015,1,1.0001,2159431564.041812,33274579370.777737
Oct-31-2021,1,1.0001,0.99995,1.00005,2024239872.4444444,33196882446.501778
Oct-30-2021,1.00005,1.0001,0.99995,1,2200210607.111111,33180487729.66762
Oct-29-2021,1.00005,1.00015,0.99995,1.0001,2215359156.888889,32993273690.68941
Oct-28-2021,1,1.00015,0.99995,1.0001,2972761160.888889,32760658814.18899
Oct-27-2021,1.00005,1.0001,0.99995,1,3213591681.7777777,32705161046.156025
Oct-26-2021,0.99995,1.00005,0.99995,1.00005,3242009126.2222223,26286535124.90593
Oct-25-2021,1.0001,1.00015,0.99995,1,1836993916,21100505520.833332
Oct-24-2021,1,1.0001,0.99995,1.0001,1712755323.5555556,21100487204.86111
Oct-23-2021,1.0001,1.0001,0.99995,0.99995,1513499426.4444444,21100446909.72222
Oct-22-2021,1,1.0001,0.9999,1.00005,1866253356.4444444,21100586111.11111
Oct-21-2021,1,1.0001,0.9999,1.00005,2881084182.6666665,21099153802.083332
Oct-20-2021,1,1.0001,0.99985,0.99995,3147998070.2222223,21099666649.305557
Oct-19-2021,1.00005,1.00015,1,1.0001,2208921412,21101087968.75
Oct-18-2021,1.00005,1.0001,0.99995,1,2249261632.673684,21100281333.333332
Oct-17-2021,0.99995,1.00005,0.99985,1.00005,2065949432.6153846,21099332325.174824
Oct-16-2021,1,1.00005,0.9999,0.99995,1736023258.057143,21099276571.42857
Oct-15-2021,1,1.00005,0.99965,0.99995,2382943981.9081273,21099306607.773853
Oct-14-2021,1.00005,1.00005,0.9997,0.9999,2550153425.9020977,21099675384.615383
Oct-13-2021,1,1.0001,0.9998,0.99995,2656111414.084507,21099877411.971832
Oct-12-2021,1,1,0.99985,1,2314570802.204947,21099138851.590107
Oct-11-2021,1,1.0001,0.99985,1,1941163089.496403,21099688812.949642
Oct-10-2021,1.00005,1.0001,0.99995,1,1831475441.5265017,21100070830.38869
Oct-09-2021,0.99995,1.0001,0.9999,1,1350198165.1111112,21100153854.166668
Oct-08-2021,0.9999,1.00005,0.9998,0.9999,1561548877.1111112,21098538385.416668
Oct-07-2021,0.99985,1.00005,0.99975,0.99995,1911222528.8888888,21098073159.72222
Oct-06-2021,1,1.00005,0.9998,0.99995,2249992600.529617,21098842073.17073
Oct-05-2021,1,1.00005,0.99985,0.99995,2054977886.6666667,21099516458.333332
Oct-04-2021,1.00005,1.00005,0.99975,1.00005,1782707073.5555556,21099963368.055557
Oct-03-2021,1.00005,1.0001,0.99995,1,1533857836,21100758281.25
Oct-02-2021,1.0001,1.00015,1,1.00005,1456862326.4444444,21101439635.416668
Oct-01-2021,1.00015,1.00015,1,1.0001,1934415933.3333333,21101692395.833332
Sep-30-2021,1.0001,1.00015,0.99995,1.00005,2162719920.4444447,21100893819.444443
Sep-29-2021,1.00005,1.00015,0.99995,1.0001,3043186648.4444447,21101245486.11111
Sep-28-2021,1.0001,1.0001,0.99975,1,3212768726.231579,21100322052.63158
Sep-27-2021,1,1.0001,0.99995,1,3657919848.087912,21100510109.89011
Sep-26-2021,1.00005,1.0001,0.99995,1.00005,2614424691.29078,21100179574.468086
Sep-25-2021,1,1.0001,0.99995,1.00005,2228251072,21100000000
Sep-24-2021,0.99995,1.0001,0.99995,0.99995,2547544096.888889,21100362656.25
Sep-23-2021,0.99995,1.0001,0.99995,1,2492177453.937282,21100389651.567944
Sep-22-2021,1.00005,1.0001,0.99995,0.99995,2459870392.4444447,21100201475.694443
Sep-21-2021,1.00005,1.0001,0.99995,1,3574734581.3333335,21100304045.13889
Sep-20-2021,0.99995,1.0001,0.99985,1.00005,3853819121.7777777,21100358993.055557
Sep-19-2021,1.00005,1.0001,0.99985,0.99995,2650201467.5555553,21099406562.5
Sep-18-2021,1.00005,1.0001,0.99995,1.00005,1334953888.2222223,21100406614.583332
Sep-17-2021,1.00005,1.00015,0.99995,1,1734669580.7108014,21100430087.108013
Sep-16-2021,1.00005,1.0001,0.99995,1.0001,1962762388.8888888,21100630069.444443
Sep-15-2021,0.99995,1.0001,0.99995,1.00005,2014677847.1111112,21100307708.333332
Sep-14-2021,1.00005,1.0001,0.99995,1,1863470384.8888888,21100476215.27778
Sep-13-2021,1.00005,1.00015,1,1.00005,2386727134.9965158,21101157926.82927
Sep-12-2021,1,1.00015,1,1.00005,4421148695.111111,21101384687.5
Sep-11-2021,1.00005,1.00015,1,1.0001,1499325963.7777777,21101505572.916668
Sep-10-2021,1,1.00015,0.99995,1,2174294362.0905924,21100676376.30662
Sep-09-2021,1.0001,1.00015,0.99995,0.99995,2109527671.0801394,21101540226.480835
Sep-08-2021,1,1.00015,1,1.0001,2412689532,21101564184.02778
Sep-07-2021,1.0001,1.00015,0.99995,1,4103488068,21101044010.416668
Sep-06-2021,1.00005,1.00015,0.9999,1.00005,2544419367.5555553,21101216180.555557
Sep-05-2021,1.00005,1.00015,1,1,1560489745.3521128,21101552781.69014
Sep-04-2021,1.00005,1.00015,1,1.0001,1689649181.3333333,21101245486.11111
Sep-03-2021,1.00005,1.00015,1,1.00005,1920870024.0278745,21101334372.8223
Sep-02-2021,0.99995,1.00015,0.99995,1.0001,2139852257.5664337,21100804160.83916
Sep-01-2021,1.00005,1.0001,0.99995,1,2318574837.7421603,21100363919.860626
Aug-31-2021,1.00005,1.00015,0.99995,1,2620604385.3333335,21101172222.22222
Aug-30-2021,1,1.00015,1,1.0001,2655440434.6666665,21101534878.47222
Aug-29-2021,1.00005,1.00015,1,1,1677526611.020979,21101438636.363636
Aug-28-2021,1.00005,1.00015,1,1.0001,1549869671.6933799,21101378484.320557
Aug-27-2021,1.00005,1.00015,1,1.0001,1600982604.169014,21101021566.90141
Aug-26-2021,1,1.0001,0.99995,1.00005,2012532896.8888888,21100765607.63889
Aug-25-2021,1.00005,1.0026000000000002,0.9999,1.00005,2051427595.1888113,21100324615.384617
Aug-24-2021,1,1.0001,0.99985,1,2117203634.6666667,21099842482.63889
Aug-23-2021,1.0001,1.0001,0.99995,1,1992809400.839161,21100534877.62238
Aug-22-2021,1.0001,1.00015,0.99995,0.99995,1909201830.6666667,21101318750
Aug-21-2021,1.00005,1.00015,0.99995,1.0001,1290552737.4494774,21101657857.142857
Aug-20-2021,1,1.0001,0.99995,1.00005,1492338238.8850174,21100551393.72822
Aug-19-2021,0.99995,1.0001,0.9999,1,1682606120.4444444,21099985347.22222
Aug-18-2021,1.00005,1.00025,0.99995,0.99995,1696253462.6666667,21100875503.47222
Aug-17-2021,1,1.0002,0.9999,1.00005,1843304523.5555556,21100743628.47222
Aug-16-2021,1.00005,1.0001,0.9999,1.00005,1642167914.965035,21100254527.972027
Aug-15-2021,1.00005,1.0001,0.9999,1,1527718209.1149826,21099988972.125435
Aug-14-2021,1.00005,1.00015,0.9999,1,1320844896.8888888,21100179496.52778
Aug-13-2021,1.00015,1.00015,0.99995,1.0001,1626288168.4444444,21101435972.22222
